TEN DON VI,HE THONG,SYSTEM CODE,KA,SUP,SALE,PG,QUAN,VUNG MIEN,TINH/THANH,NAM,THANG
BIG C TRUONG CHINH,BIG C,BIGC_TCHINH,KA HCM1,LE NAM PHUONG,NGUYEN THI OANH,"""NO PG""",,TP HCM,HCM,2025,12
BIG C VIET TRI,BIG C,BIGC_VTRI,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,PHU THO,MIEN DONG BAC BO,2025,12
BIG C VINH,BIG C,BIGC_VINH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,NGHE AN,MIEN BAC TRUNG BO,2025,12
BIG C VINH PHUC,BIG C,BIGC_VPHUC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,VINH PHUC,DONG BANG SONG HONG,2025,12
BIG C NHON TRACH,BIG C,BIGC_NTRACH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,,2025,12
BIG C YEN BAI,BIG C,BIGC_YENBAI,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2025,12
BIG C GO CONG TAY,BIG C,BIGC_GCTAY,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2025,12
BONIVA FOOD,BONIVA FOOD,6469,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2025,12
B'S MART,B'S MART,4317,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2025,12
CAO PHONG CACH MANG THANG 8,CAO PHONG,CP_CMT8,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2025,12
CAO PHONG HOANG DIEU,CAO PHONG,CP_HD,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2025,12
CAO PHONG HUNG VUONG,CAO PHONG,CP_HV,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2025,12
CAO PHONG LUONG DINH CUA,CAO PHONG,CP_LDC,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2025,12
CAO PHONG TON DAT TIEN,CAO PHONG,CP_TDT,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2025,12
COOP CHEERS,COOP CHEERS,COOP_CHEER,KA HCM1,VAVANCY-VU MINH TUAN,"""NO SALE""","""NO PG""",,TP HCM,HCM,2025,12
COOP EXTRA LINH TRUNG,COOP EXTRA,COOP_LTRUNG,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2025,12
COOP EXTRA PHAM VAN DONG,COOP EXTRA,COOP_PVD,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2025,12
COOP EXTRA SU VAN HANH,COOP EXTRA,COOP_SVH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2025,12
COOP EXTRA TAN PHONG,COOP EXTRA,COOP_TPHONG,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2025,12
COOP PHO QUANG,COOP FOOD,COOP_NQ_PQ,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LINH TAY,COOP FOOD,COOP_F_DS9LTAY,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD WEST,COOP FOOD,COOP_F_WEST,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LE VAN QUOI,COOP FOOD,COOP_F_LVQ,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD VISION,COOP FOOD,COOP_F_VISION,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD VAN KHE,COOP FOOD,COOP_F_VKHE,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN THI DINH,COOP FOOD,COOP_F_NTD,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD THE GIA,COOP FOOD,COOP_F_THEGIA,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN KHOAI,COOP FOOD,COOP_F_NKHOAI,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRAN THI CO 292,COOP FOOD,COOP_F_TTCO292,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TAN SON NHI 387,COOP FOOD,COOP_F_TSN387,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRUONG QUOC DUNG,COOP FOOD,COOP_F_TQDUNG,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD XOM CHIEU,COOP FOOD,COOP_F_XCHIEU,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TINH LO 43,COOP FOOD,COOP_F_TLO43,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD VESTA,COOP FOOD,COOP_F_VESTA,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD BCONS GARDEN,COOP FOOD,COOP_F_BCONS_GD,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LINH XUAN,COOP FOOD,COOP_F_LXUAN,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HIEP BINH,COOP FOOD,COOP_F_HBINH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LE LOI 160,COOP FOOD,COOP_F_LLOI60,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN SON 325,COOP FOOD,COOP_F_NSON325,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LE VAN LUONG 302,COOP FOOD,COOP_F_LVL302,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HATECO,COOP FOOD,COOP_F_HATECO,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRUNG MY TAY,COOP FOOD,COOP_F_TMTAY,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LE VAN SY,COOP FOOD,COOP_F_LVSY,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN TRONG TUYEN 171,COOP FOOD,COOP_F_NTT171,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRUONG PHUOC PHAN,COOP FOOD,COOP_F_TPPHAN,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NO TRANG LONG 17,COOP FOOD,COOP_F_NTL17,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HOANG ANH THANH BINH,COOP FOOD,COOP_F_TBINH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HOANG HUU NAM,COOP FOOD,COOP_F_HHNAM,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGO QUYEN 52,COOP FOOD,COOP_F_NQ52,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD OPAL,COOP FOOD,COOP_F_OPAL,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD PASTEUR,COOP FOOD,COOP_F_PASTEUR,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN HONG,COOP FOOD,COOP_F_NHONG,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD VINH VIEN,COOP FOOD,COOP_F_VVIEN393,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LINH TRUNG,COOP FOOD,COOP_F_DS8LTRUNG,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TANG NHON PHU,COOP FOOD,COOP_F_TNPHU,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HIEP BINH CHANH,COOP FOOD,COOP_F_DS3_HBP,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD ECO,COOP FOOD,COOP_F_ECO,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD BOWN,COOP FOOD,COOP_F_RBOWN,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD THE MY,COOP FOOD,COOP_F_THEMY31,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LANG TANG PHU,COOP FOOD,COOP_F_LTPHU,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD SAI GON,COOP FOOD,COOP_F_SAIGON,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HAU LAN,COOP FOOD,COOP_F_HAULAN,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD VINH HOI,COOP FOOD,COOP_F_VHOI,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRAN QUOC THAO,COOP FOOD,COOP_F_TQT,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LUMIERE,COOP FOOD,COOP_FL_LUMIERE,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LE QUANG DINH,COOP FOOD,COOP_F_LQDINH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HA DO,COOP FOOD,COOP_F_HADO,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN DUY TRINH 192,COOP FOOD,COOP_F_NDTRINH192,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN HUU TIEN  11,COOP FOOD,COOP_F_NHTIEN11,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LE VAN LUONG 1187,COOP FOOD,COOP_F_LVLUONG1187,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD AN KHANG,COOP FOOD,COOP_F_AKHANG,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD VANH DAI,COOP FOOD,COOP_F_VDAI,KA HCM1,VAVANCY-VU MINH TUAN,VU THUY MINH THAO,"""NO PG""",,,,2025,12
COOPFOOD LAVITA,COOP FOOD,COOP_F_LAVITA,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TINH LO 15,COOP FOOD,COOP_F_TL15_275,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD SAVIMEX,COOP FOOD,COOP_F_SAVIMEX,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LA XUAN OAI,COOP FOOD,COOP_F_LXOAI,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LAM AN BEN,COOP FOOD,COOP_F_LVB,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD CHU VAN AN,COOP FOOD,COOP_F_CVAN,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HO VAN LONG,COOP FOOD,COOP_F_HVLONG,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN SY SACH,COOP FOOD,COOP_F_NSSACH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD ROMAN,COOP FOOD,COOP_F_ROMAN,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD GREEN HILLS,COOP FOOD,COOP_F_GHILLS,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD VINH HUNG,COOP FOOD,COOP_F_VHUNG,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD SAPHIRE,COOP FOOD,COOP_F_SAPHIRE,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HOANG ANH,COOP FOOD,COOP_F_HOANGANH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD QUOC LO 22,COOP FOOD,COOP_F_QL22_726,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD GARDEN,COOP FOOD,COOP_F_GARDEN,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TAN THANH,COOP FOOD,COOP_F_TTHANH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD PHAM VAN HON,COOP FOOD,COOP_F_PVHON151,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD LE VAN THINH,COOP FOOD,COOP_F_LVTHINH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD PHAN VAN HON,COOP FOOD,COOP_F_PVHON285,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD GIA PHU,COOP FOOD,COOP_F_GIAPHU,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TON THAT THUYET,COOP FOOD,COOP_F_TTTHUYET,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOP NGUYEN VAN DAU,COOP FOOD,COOP_F_NVDAU,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRAN PHU,COOP FOOD,COOP_F_TPHU71,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD EURO,COOP FOOD,COOP_F_EURO,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HAPPY,COOP FOOD,COOP_F_HAPPY,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HUYNH VAN NGHE,COOP FOOD,COOP_F_HVNGHE,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN THAI BINH,COOP FOOD,COOP_F_NTB,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TINH LO 8,COOP FOOD,COOP_F_TL8_628,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRIEU KHUC,COOP FOOD,COOP_F_TKHUC,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD XUYEN A,COOP FOOD,COOP_F_XUYENA,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD BACH MA ,COOP FOOD,COOP_F_BMA,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOFOOD BINH THOI,COOP FOOD,COOP_F_BTHOI,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD WEAL,COOP FOOD,COOP_F_WEAL,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HAUSNEO,COOP FOOD,COOP_F_HAUSNEO,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD IDICO,COOP FOOD,COOP_F_IDICO,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD PHAM THE HIEN 2649,COOP FOOD,COOP_F_PTHIEN2649,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD THONG NHAT,COOP FOOD,COOP_F_TNHAT,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRUONG CONG DINH,COOP FOOD,COOP_F_TCDINH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD CHO CAU,COOP FOOD,COOP_F_CHOCAU,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HOANG QUAN 2,COOP FOOD,COOP_F_HQUAN2,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRAN TRONG CUNG,COOP FOOD,COOP_F_TTCUNG,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD AKARI,COOP FOOD,COOP_F_AKARI,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD VINH PHU,COOP FOOD,COOP_F_VPHU,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD HO VAN TU,COOP FOOD,COOP_F_HVTU,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRUONG VAN THANH,COOP FOOD,COOP_F_TVTHANH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD TRUONG DINH HOI,COOP FOOD,COOP_F_TDHOI,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD HIEP PHU,COOP FOOD,COOP_F_HPHU,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD SAMSORA RIVERSIDE,COOP FOOD,COOP_F_SAMSO,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD VUON LAI,COOP FOOD,COOP_F_VLAI,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD TRAN VAN QUANG,COOP FOOD,COOP_F_TVQ,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD THANG LONG,COOP FOOD,COOP_F_TLONG31,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD CAY TRAM,COOP FOOD,COOP_F_CTRAM,KA HCM1,VAVANCY-VU MINH TUAN,VU THUY MINH THAO,"""NO PG""",,,,2025,12
COOPFOOD TRAN VIET CHAU,COOP FOOD,COOP_F_TVC,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD THOAI NGOC HAU,COOP FOOD,COOP_F_TNHAU,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD BINH KHANH,COOP FOOD,COOP_F_BINHKHANH,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD TRAN QUANG KHAI,COOP FOOD,COOP_F_TQK,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD TAN QUY,COOP FOOD,COOP_F_TANQUY,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD NGUYEN DUY TRINH,COOP FOOD,COOP_F_NDTRINH,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD BINH GIA,COOP FOOD,COOP_F_BGIA,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD PHU LOI,COOP FOOD,COOP_F_PLOI,KA HCM1,VAVANCY-VU MINH TUAN,TRAN THI THANH TRUC,"""NO PG""",,,,2025,12
COOPFOOD KRISTA,COOP FOOD,COOP_F_KRISTA,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD CARINA,COOP FOOD,COOP_F_CARINA,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD VAN KIEP,COOP FOOD,COOP_F_VKIEP,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD LACASA,COOP FOOD,COOP_F_LACASA,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD DAT MOI,COOP FOOD,COOP_F_DMOI,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD NHA BE,COOP FOOD,COOP_F_NBE,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD PHAM THE HIEN 2,COOP FOOD,COOP_F_PTHIEN2,KA HCM1,VAVANCY-VU MINH TUAN,VACANCY,"""NO PG""",,,,2025,12
COOPFOOD TAY BAC,COOP FOOD,COOP_F_TBAC,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD KDC HOA THANH,COOP FOOD,COOP_F_KDCHTHANHIII,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD QUACH DINH BAO,COOP FOOD,COOP_F_QDBAO,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD MAN  THIEN 126,COOP FOOD,COOP_F_MTHIEN126,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD HOANG QUAN,COOP FOOD,COOP_F_HQUAN,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD TRAN VAN DANH,COOP FOOD,COOP_F_TVDANH,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD PHAN VAN TRI,COOP FOOD,COOP_F_PVTRI,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD DO XUAN HOP 100,COOP FOOD,COOP_F_DXHOP729,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD PHONG PHU,COOP FOOD,COOP_F_PPHU88,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD LY CHIEU HOANG,COOP FOOD,COOP_F_LCHOANG113,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD  DRAGON HILL,COOP FOOD,COOP_F_NHT,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD SUNRISE,COOP FOOD,COOP_F_SUNRISE,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD TAN HOA,COOP FOOD,COOP_F_TANHOA,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD TAN LAP 55,COOP FOOD,COOP_F_TANLAP,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD BONG SAO,COOP FOOD,COOP_F_BSAO,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD QUANG PHUC,COOP FOOD,COOP_F_QPHUC,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD BAC HA,COOP FOOD,COOP_F_BACHA,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD PHUC AN LOC,COOP FOOD,COOP_F_PALOC,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD LAC LONG QUAN,COOP FOOD,COOP_F_LLQ542,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD BINH AN,COOP FOOD,COOP_F_BINHAN,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
COOPFOOD SKY 9,COOP FOOD,COOP_F_SKY9,KA HCM1,VAVANCY-VU MINH TUAN,NO SALE,"""NO PG""",,,,2025,12
